text,priority,description,category
Fix the sink,Medium,Buy groceries for the week,Personal
Plan vacation,High,Schedule dentist appointment,Health
Fix the sink,High,Gym session for strength training,Health
Review pull requests,Low,Schedule dentist appointment,Health
Clean the house,Medium,Organize the home office,Personal
Buy groceries,Medium,Go for a run in the park,Health
Write blog post,High,Conduct performance reviews,Work
Schedule team meeting,High,Conduct performance reviews,Work
Clean the house,Medium,Fix critical bugs in the system,Work
Clean the house,Medium,Organize the home office,Personal
Finish project report,High,Prepare presentation slides for the meeting,Work
Finish project report,High,Complete end-of-quarter financial report,Work
Fix the sink,Medium,Buy groceries for the week,Personal
Schedule team meeting,High,Prepare presentation slides for the meeting,Work
Write blog post,Medium,Call family to check in,Personal
Buy groceries,Medium,Call family to check in,Personal
Review pull requests,Medium,Schedule dentist appointment,Health
Update website,High,Go for a run in the park,Health
Update website,Medium,Organize the home office,Personal
Call family,High,Conduct performance reviews,Work
Call family,Medium,Call family to check in,Personal
Plan vacation,Low,Meditation and relaxation session,Health
Clean the house,High,Conduct performance reviews,Work
Study for exam,Medium,Call family to check in,Personal
Study for exam,Medium,Gym session for strength training,Health
Study for exam,High,Prepare presentation slides for the meeting,Work
Organize files,High,Doctor appointment for annual checkup,Health
Review pull requests,High,Complete end-of-quarter financial report,Work
Doctor appointment,Medium,Plan a weekend getaway,Personal
Plan vacation,High,Conduct performance reviews,Work
Client follow-up,Medium,Meditation and relaxation session,Health
Doctor appointment,Medium,Call family to check in,Personal
Fix the sink,Medium,Send project status update to stakeholders,Work
Plan vacation,Medium,Meditation and relaxation session,Health
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Plan vacation,High,Conduct performance reviews,Work
Buy groceries,Medium,Call family to check in,Personal
Write blog post,Medium,Organize the home office,Personal
Organize files,Low,Go for a run in the park,Health
Plan vacation,Medium,Buy groceries for the week,Personal
Clean the house,Medium,Gym session for strength training,Health
Workout session,Medium,Buy groceries for the week,Personal
Fix the sink,Medium,Fix critical bugs in the system,Work
Client follow-up,Low,Schedule dentist appointment,Health
Workout session,Medium,Meditation and relaxation session,Health
Finish project report,High,Doctor appointment for annual checkup,Health
Doctor appointment,Low,Go for a run in the park,Health
Doctor appointment,High,Doctor appointment for annual checkup,Health
Workout session,Medium,Fix critical bugs in the system,Work
Organize files,Medium,Call family to check in,Personal
Plan vacation,High,Fix critical bugs in the system,Work
Study for exam,High,Meditation and relaxation session,Health
Update website,High,Gym session for strength training,Health
Review pull requests,Medium,Schedule a dinner with friends,Personal
Clean the house,Medium,Plan a weekend getaway,Personal
Call family,Low,Gym session for strength training,Health
Write blog post,High,Send project status update to stakeholders,Work
Doctor appointment,Medium,Prepare presentation slides for the meeting,Work
Review pull requests,High,Meditation and relaxation session,Health
Write blog post,Medium,Organize the home office,Personal
Update website,High,Fix critical bugs in the system,Work
Buy groceries,Medium,Fix critical bugs in the system,Work
Buy groceries,Medium,Plan a weekend getaway,Personal
Organize files,Medium,Meditation and relaxation session,Health
Review pull requests,Medium,Schedule a dinner with friends,Personal
Update website,Medium,Organize the home office,Personal
Plan vacation,Medium,Gym session for strength training,Health
Study for exam,Medium,Conduct performance reviews,Work
Update website,Medium,Plan a weekend getaway,Personal
Finish project report,High,Send project status update to stakeholders,Work
Doctor appointment,Medium,Send project status update to stakeholders,Work
Client follow-up,Medium,Organize the home office,Personal
Schedule team meeting,Medium,Plan a weekend getaway,Personal
Write blog post,Medium,Buy groceries for the week,Personal
Schedule team meeting,Medium,Fix critical bugs in the system,Work
Review pull requests,High,Fix critical bugs in the system,Work
Review pull requests,High,Fix critical bugs in the system,Work
Finish project report,Medium,Conduct performance reviews,Work
Write blog post,Medium,Complete end-of-quarter financial report,Work
Schedule team meeting,High,Schedule dentist appointment,Health
Fix the sink,Medium,Plan a weekend getaway,Personal
Plan vacation,Low,Doctor appointment for annual checkup,Health
Study for exam,Medium,Plan a weekend getaway,Personal
Study for exam,Medium,Call family to check in,Personal
Study for exam,High,Schedule dentist appointment,Health
Fix the sink,High,Fix critical bugs in the system,Work
Client follow-up,Medium,Gym session for strength training,Health
Workout session,High,Fix critical bugs in the system,Work
Fix the sink,High,Go for a run in the park,Health
Buy groceries,Medium,Conduct performance reviews,Work
Study for exam,Medium,Call family to check in,Personal
Doctor appointment,Medium,Schedule a dinner with friends,Personal
Update website,High,Fix critical bugs in the system,Work
Plan vacation,Medium,Call family to check in,Personal
Clean the house,Medium,Organize the home office,Personal
Clean the house,Medium,Gym session for strength training,Health
Update website,Medium,Organize the home office,Personal
Update website,Medium,Schedule dentist appointment,Health
Write blog post,High,Go for a run in the park,Health
Doctor appointment,High,Complete end-of-quarter financial report,Work
Study for exam,Medium,Organize the home office,Personal
Plan vacation,Medium,Organize the home office,Personal
Study for exam,Medium,Meditation and relaxation session,Health
Review pull requests,Medium,Buy groceries for the week,Personal
Write blog post,Medium,Go for a run in the park,Health
Clean the house,Medium,Prepare presentation slides for the meeting,Work
Schedule team meeting,Low,Meditation and relaxation session,Health
Write blog post,Medium,Buy groceries for the week,Personal
Client follow-up,Medium,Organize the home office,Personal
Fix the sink,Medium,Fix critical bugs in the system,Work
Plan vacation,Medium,Call family to check in,Personal
Call family,Medium,Organize the home office,Personal
Client follow-up,High,Prepare presentation slides for the meeting,Work
Organize files,High,Send project status update to stakeholders,Work
Schedule team meeting,Medium,Call family to check in,Personal
Call family,Low,Go for a run in the park,Health
Call family,Medium,Send project status update to stakeholders,Work
Review pull requests,Medium,Go for a run in the park,Health
Organize files,Medium,Plan a weekend getaway,Personal
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Client follow-up,Medium,Meditation and relaxation session,Health
Finish project report,Low,Doctor appointment for annual checkup,Health
Client follow-up,Medium,Plan a weekend getaway,Personal
Write blog post,High,Doctor appointment for annual checkup,Health
Doctor appointment,Medium,Plan a weekend getaway,Personal
Write blog post,Medium,Schedule dentist appointment,Health
Study for exam,Low,Gym session for strength training,Health
Schedule team meeting,High,Doctor appointment for annual checkup,Health
Review pull requests,Low,Doctor appointment for annual checkup,Health
Call family,Medium,Organize the home office,Personal
Clean the house,High,Go for a run in the park,Health
Write blog post,High,Complete end-of-quarter financial report,Work
Call family,Medium,Prepare presentation slides for the meeting,Work
Client follow-up,Medium,Plan a weekend getaway,Personal
Client follow-up,High,Fix critical bugs in the system,Work
Buy groceries,High,Send project status update to stakeholders,Work
Finish project report,Medium,Send project status update to stakeholders,Work
Client follow-up,High,Go for a run in the park,Health
Clean the house,High,Send project status update to stakeholders,Work
Clean the house,High,Fix critical bugs in the system,Work
Client follow-up,Medium,Complete end-of-quarter financial report,Work
Update website,Medium,Go for a run in the park,Health
Organize files,Medium,Schedule dentist appointment,Health
Review pull requests,Medium,Schedule a dinner with friends,Personal
Buy groceries,High,Prepare presentation slides for the meeting,Work
Fix the sink,Medium,Schedule a dinner with friends,Personal
Schedule team meeting,Medium,Prepare presentation slides for the meeting,Work
